200,LutanHojef,5,B
180,Bad_CRC,5,E
68,dr_dov,5,E
99,Michael P,5,E
240,Wurms,5,E
145,JDLNZ,5,E
169,Tom Harper,5,E
76,casperionx,5,E
88,ZaraWW,5,E
188,cap,5,E
121,Zardoz,5,I
223,Kévin Le Franc,5,I
8,Marcell Varga,5,I
227,Czikmantory Tamas,5,I
163,Elred,5,I
238,Jomblr,5,I
108,Niklas Ljungberg,5,I
198,Paul Bridge,5,I
123,RealSlimVeers,5,I
122,Andrew Fearn,5,K
241,Stephen Sage,5,K
89,Beautifulleif,5,K
254,Scarf-1,5,K
250,Trukson,5,K
251,wankenobi,5,K
109,avg_xwing_pilot,5,K
152,Morfeo,5,K
44,Nobody,5,A
179,SailorJoeV,5,A
170,Khaaannnn,5,A
290,Drew Nix,4,F
